,Nombre,Precio,Variacion,Maxima,Minima,Fecha
0,ACCIONA,"157,8000","1,15","158,9000","154,2000",2021-10-21 18:17:24.068841
1,ACERINOX,"11,4900","-2,25","11,6800","11,4000",2021-10-21 18:17:24.068841
2,ACS,"23,0500","0,22","23,2900","22,7600",2021-10-21 18:17:24.068841
3,AENA,"141,0000","-2,08","142,4500","139,7500",2021-10-21 18:17:24.068841
4,ALMIRALL,"12,7500","0,39","12,8400","12,6400",2021-10-21 18:17:24.068841
5,AMADEUS,"56,3800","-0,28","56,8600","55,4200",2021-10-21 18:17:24.084446
6,ARCELORMIT.,"26,9700","-3,92","27,9750","26,9700",2021-10-21 18:17:24.084446
7,B.SANTANDER,"3,3135","-1,38","3,3500","3,2970",2021-10-21 18:17:24.084446
8,BA.SABADELL,"0,6464","-3,44","0,6638","0,6458",2021-10-21 18:17:24.084446
9,BANKINTER,"4,7850","-5,51","5,0100","4,7320",2021-10-21 18:17:24.084446
10,BBVA,"5,6610","-2,90","5,7870","5,6370",2021-10-21 18:17:24.084446
11,CAIXABANK,"2,5500","-2,86","2,6170","2,5460",2021-10-21 18:17:24.084446
12,CELLNEX,"54,8000","1,41","54,8000","53,9400",2021-10-21 18:17:24.100068
13,CIE AUTOMOT.,"23,9600","4,72","24,1000","22,9600",2021-10-21 18:17:24.100068
14,ENAGAS,"19,3050","-1,03","19,5350","19,2600",2021-10-21 18:17:24.100068
15,ENDESA,"19,0750","0,18","19,1650","18,8950",2021-10-21 18:17:24.100068
16,FERROVIAL,"26,8200","-0,07","27,1000","26,6600",2021-10-21 18:17:24.100068
17,FLUIDRA,"36,5000","2,24","36,5500","35,4000",2021-10-21 18:17:24.100068
18,GRIFOLS CL.A,"20,3900","1,85","20,4000","19,8500",2021-10-21 18:17:24.100068
19,IAG,"1,9040","1,82","1,9120","1,8180",2021-10-21 18:17:24.100068
20,IBERDROLA,"9,7520","-0,83","9,8360","9,7300",2021-10-21 18:17:24.100068
21,INDITEX,"31,3000","-0,57","31,3400","30,9000",2021-10-21 18:17:24.100068
22,INDRA A,"9,4850","-0,05","9,6000","9,4550",2021-10-21 18:17:24.115692
23,INM.COLONIAL,"8,3300","0,12","8,4550","8,2850",2021-10-21 18:17:24.115692
24,MAPFRE,"1,7845","-1,46","1,8065","1,7845",2021-10-21 18:17:24.115692
25,MELIA HOTELS,"6,3800","0,41","6,4620","6,1900",2021-10-21 18:17:24.115692
26,MERLIN,"9,3520","0,49","9,4120","9,1920",2021-10-21 18:17:24.115692
27,NATURGY,"22,2800","-0,40","22,4500","22,2300",2021-10-21 18:17:24.115692
28,PHARMA MAR,"71,7400","0,67","71,7400","70,2400",2021-10-21 18:17:24.115692
29,R.E.C.,"17,6050","-0,96","17,7450","17,3550",2021-10-21 18:17:24.115692
30,REPSOL,"11,4520","-2,04","11,6600","11,4440",2021-10-21 18:17:24.131317
31,SIEMENS GAME,"22,0800","1,61","22,1500","21,5100",2021-10-21 18:17:24.131317
32,SOLARIA,"16,7100","1,00","16,7200","16,1800",2021-10-21 18:17:24.131317
33,TELEFONICA,"3,7905","-1,20","3,8685","3,7905",2021-10-21 18:17:24.131317
34,VISCOFAN,"56,4000","1,17","56,9500","55,7000",2021-10-21 18:17:24.131317
,,,,,2021-10-25 01:26:33.415293
ACCIONA,"161,1000","2,09","162,2000","157,9000",2021-10-25 01:26:33.415293
ACERINOX,"11,5900","0,87","11,7050","11,5100",2021-10-25 01:26:33.415293
ACS,"23,0600","0,04","23,3100","22,9400",2021-10-25 01:26:33.415293
AENA,"141,9500","0,67","142,7000","139,0500",2021-10-25 01:26:33.415293
ALMIRALL,"12,7100","-0,31","12,8400","12,6800",2021-10-25 01:26:33.415293
AMADEUS,"55,4000","-1,74","56,5800","55,0800",2021-10-25 01:26:33.415293
ARCELORMIT.,"27,2150","0,91","27,6950","27,1300",2021-10-25 01:26:33.430900
B.SANTANDER,"3,2820","-0,95","3,3420","3,2820",2021-10-25 01:26:33.430900
BA.SABADELL,"0,6540","1,18","0,6612","0,6420",2021-10-25 01:26:33.430900
BANKINTER,"4,7220","-1,32","4,8460","4,7040",2021-10-25 01:26:33.430900
BBVA,"5,6860","0,44","5,7270","5,6320",2021-10-25 01:26:33.430900
CAIXABANK,"2,5410","-0,35","2,5660","2,5000",2021-10-25 01:26:33.430900
CELLNEX,"54,6200","-0,33","55,0200","54,3400",2021-10-25 01:26:33.430900
CIE AUTOMOT.,"23,5400","-1,75","24,0800","23,5400",2021-10-25 01:26:33.430900
ENAGAS,"19,4850","0,93","19,4950","19,1500",2021-10-25 01:26:33.430900
ENDESA,"19,0650","-0,05","19,2250","18,9600",2021-10-25 01:26:33.430900
FERROVIAL,"27,1800","1,34","27,2300","26,7700",2021-10-25 01:26:33.446520
FLUIDRA,"36,9000","1,10","37,4500","36,4000",2021-10-25 01:26:33.446520
GRIFOLS CL.A,"20,2000","-0,93","20,5400","20,1500",2021-10-25 01:26:33.446520
IAG,"1,8515","-2,76","1,9160","1,8325",2021-10-25 01:26:33.446520
IBERDROLA,"9,7160","-0,37","9,8200","9,6560",2021-10-25 01:26:33.446520
INDITEX,"30,7600","-1,73","31,3700","30,7600",2021-10-25 01:26:33.446520
INDRA A,"9,5200","0,37","9,5600","9,4100",2021-10-25 01:26:33.446520
INM.COLONIAL,"8,3150","-0,18","8,4250","8,3150",2021-10-25 01:26:33.446520
MAPFRE,"1,8125","1,57","1,8170","1,7760",2021-10-25 01:26:33.462146
MELIA HOTELS,"6,3420","-0,60","6,4500","6,2160",2021-10-25 01:26:33.462146
MERLIN,"9,3500","-0,02","9,3980","9,3160",2021-10-25 01:26:33.462146
NATURGY,"22,0300","-1,12","22,2800","21,9900",2021-10-25 01:26:33.462146
PHARMA MAR,"71,0200","-1,00","72,1400","71,0200",2021-10-25 01:26:33.462146
R.E.C.,"17,6350","0,17","17,7500","17,5400",2021-10-25 01:26:33.462146
REPSOL,"11,4660","0,12","11,5700","11,4220",2021-10-25 01:26:33.462146
SIEMENS GAME,"21,9200","-0,72","22,4900","21,9200",2021-10-25 01:26:33.462146
SOLARIA,"16,9600","1,50","17,1800","16,5700",2021-10-25 01:26:33.477772
TELEFONICA,"3,7715","-0,50","3,8200","3,7645",2021-10-25 01:26:33.477772
VISCOFAN,"55,9500","-0,80","57,1000","55,9000",2021-10-25 01:26:33.477772
,,,,,2021-10-25 01:27:46.628074
ACCIONA,"161,1000","2,09","162,2000","157,9000",2021-10-25 01:27:46.643674
