,Nombre,Precio,Variacion,Maxima,Minima,Fecha
0,ACCIONA,"157,4000","0,25","159,6000","156,3000",2021-11-08
1,ACERINOX,"11,3400","1,07","11,4000","11,1300",2021-11-08
2,ACS,"23,2100","-0,43","23,3700","22,9500",2021-11-08
3,AENA,"149,5000","-1,16","152,0000","149,2000",2021-11-08
4,ALMIRALL,"12,5100","0,97","12,5400","12,3000",2021-11-08
5,AMADEUS,"62,4600","0,84","63,0600","61,5400",2021-11-08
6,ARCELORMIT.,"28,9350","3,52","29,0200","27,9750",2021-11-08
7,B.SANTANDER,"3,2605","-0,72","3,3000","3,2380",2021-11-08
8,BA.SABADELL,"0,6720","-0,21","0,6766","0,6636",2021-11-08
9,BANKINTER,"4,9600","-0,14","5,0080","4,9430",2021-11-08
10,BBVA,"6,0430","0,28","6,0890","5,9950",2021-11-08
11,CAIXABANK,"2,4800","-1,04","2,4990","2,4670",2021-11-08
12,CELLNEX,"53,2400","0,99","53,8800","52,7600",2021-11-08
13,CIE AUTOMOT.,"24,8400","0,89","24,8400","24,5000",2021-11-08
14,ENAGAS,"19,8100","-1,39","20,2200","19,7850",2021-11-08
15,ENDESA,"19,6000","-2,00","20,0900","19,5750",2021-11-08
16,FERROVIAL,"27,2600","-0,51","27,6000","27,0100",2021-11-08
17,FLUIDRA,"34,0000","2,72","34,1000","33,0000",2021-11-08
18,GRIFOLS CL.A,"18,4050","-0,51","18,7300","18,3350",2021-11-08
19,IAG,"2,0780","-0,81","2,1340","2,0380",2021-11-08
20,IBERDROLA,"10,1300","-1,41","10,3350","10,1250",2021-11-08
21,INDITEX,"31,4000","-2,70","32,1000","31,2700",2021-11-08
22,INDRA A,"10,7700","-0,09","10,8300","10,6900",2021-11-08
23,INM.COLONIAL,"8,6050","-0,81","8,7400","8,5450",2021-11-08
24,MAPFRE,"1,9210","-1,13","1,9400","1,9165",2021-11-08
25,MELIA HOTELS,"6,7560","-2,17","6,9200","6,6180",2021-11-08
26,MERLIN,"9,5980","-2,16","9,8500","9,5880",2021-11-08
27,NATURGY,"23,1900","-0,81","23,3800","23,1900",2021-11-08
28,PHARMA MAR,"61,2600","0,92","62,2000","60,6400",2021-11-08
29,R.E.C.,"17,9300","-1,35","18,1750","17,9150",2021-11-08
30,REPSOL,"10,8460","0,31","11,0220","10,7440",2021-11-08
31,SIEMENS GAME,"20,3900","8,54","20,6400","19,1500",2021-11-08
32,SOLARIA,"16,0500","2,29","16,1550","15,4600",2021-11-08
33,TELEFONICA,"3,7630","-0,08","3,7930","3,7470",2021-11-08
34,VISCOFAN,"58,7500","-1,43","59,6000","58,7500",2021-11-08
