,Nombre,Precio,Variacion,Maxima,Minima,Fecha
0,ACCIONA,"164,4000","0,74","165,1000","162,2000",2021-10-27
1,ACERINOX,"11,9950","-0,37","12,1250","11,9050",2021-10-27
2,ACS,"22,7000","-1,26","23,2400","22,6600",2021-10-27
3,AENA,"141,7500","-0,18","142,9500","141,0500",2021-10-27
4,ALMIRALL,"12,7500","-0,86","12,9600","12,7300",2021-10-27
5,AMADEUS,"57,1000","0,25","57,5600","56,3200",2021-10-27
6,ARCELORMIT.,"29,1350","-0,31","29,5800","28,4450",2021-10-27
7,B.SANTANDER,"3,2610","-2,85","3,3505","3,2245",2021-10-27
8,BA.SABADELL,"0,6548","-1,83","0,6676","0,6506",2021-10-27
9,BANKINTER,"4,7080","0,06","4,7660","4,6600",2021-10-27
10,BBVA,"5,6150","-1,20","5,7440","5,5620",2021-10-27
11,CAIXABANK,"2,5490","-2,04","2,5960","2,5280",2021-10-27
12,CELLNEX,"54,0800","-0,15","54,7200","53,8400",2021-10-27
13,CIE AUTOMOT.,"23,0800","0,17","23,1200","22,7800",2021-10-27
14,ENAGAS,"19,7850","1,77","19,8000","19,3400",2021-10-27
15,ENDESA,"19,8100","2,03","19,8100","19,3150",2021-10-27
16,FERROVIAL,"27,2900","0,04","27,4800","27,2300",2021-10-27
17,FLUIDRA,"36,6500","-0,27","37,5000","36,4000",2021-10-27
18,GRIFOLS CL.A,"19,8500","-2,36","20,3900","19,8500",2021-10-27
19,IAG,"1,8980","-0,50","1,9255","1,8870",2021-10-27
20,IBERDROLA,"10,0500","1,66","10,0950","9,8760",2021-10-27
21,INDITEX,"30,8200","-0,23","31,0000","30,4800",2021-10-27
22,INDRA A,"9,5600","-0,10","9,5600","9,4550",2021-10-27
23,INM.COLONIAL,"8,4800","1,19","8,5400","8,3400",2021-10-27
24,MAPFRE,"1,8220","0,50","1,8330","1,8085",2021-10-27
25,MELIA HOTELS,"6,3020","-0,51","6,3360","6,1520",2021-10-27
26,MERLIN,"9,4400","0,85","9,4560","9,3360",2021-10-27
27,NATURGY,"22,5700","0,80","22,6000","22,3200",2021-10-27
28,PHARMA MAR,"69,1800","-1,76","70,2400","69,0600",2021-10-27
29,R.E.C.,"18,0650","2,35","18,0850","17,5250",2021-10-27
30,REPSOL,"11,4660","-0,64","11,5800","11,3200",2021-10-27
31,SIEMENS GAME,"22,1800","-0,54","22,4000","21,9400",2021-10-27
32,SOLARIA,"16,8350","1,14","16,9850","16,4500",2021-10-27
33,TELEFONICA,"3,8135","0,01","3,8135","3,7685",2021-10-27
34,VISCOFAN,"55,8500","0,18","56,8500","55,5000",2021-10-27
