,Nombre,Precio,Variacion,Maxima,Minima,Fecha
0,ACCIONA,"148,3000","0,68","149,6000","146,8000",2021-10-14 19:43:02.350112
1,ACERINOX,"11,9150","0,34","12,0600","11,8600",2021-10-14 19:43:02.361107
2,ACS,"22,2900","-0,04","22,6400","22,2200",2021-10-14 19:43:02.364104
3,AENA,"143,3500","0,46","144,9500","142,7500",2021-10-14 19:43:02.370105
4,ALMIRALL,"12,8600","-0,77","13,1100","12,8300",2021-10-14 19:43:02.374100
5,AMADEUS,"60,0000","0,00","60,6000","59,7600",2021-10-14 19:43:02.381095
6,ARCELORMIT.,"27,4350","3,18","27,6600","26,8950",2021-10-14 19:43:02.384092
7,B.SANTANDER,"3,2810","0,15","3,3580","3,2810",2021-10-14 19:43:02.390090
8,BA.SABADELL,"0,6708","0,63","0,6812","0,6690",2021-10-14 19:43:02.397086
9,BANKINTER,"5,0160","0,20","5,0900","5,0120",2021-10-14 19:43:02.400084
10,BBVA,"5,6370","-0,93","5,7540","5,5800",2021-10-14 19:43:04.667907
11,CAIXABANK,"2,6280","0,42","2,6710","2,6000",2021-10-14 19:43:04.671904
12,CELLNEX,"53,0200","0,38","53,2600","52,4600",2021-10-14 19:43:04.673904
13,CIE AUTOMOT.,"22,0200","-0,09","22,6000","21,9800",2021-10-14 19:43:04.675902
14,ENAGAS,"19,7550","0,61","19,8600","19,5900",2021-10-14 19:43:04.680900
15,ENDESA,"18,8450","2,59","19,0400","18,3650",2021-10-14 19:43:04.682899
16,FERROVIAL,"26,1600","0,31","26,5500","25,7800",2021-10-14 19:43:04.683898
17,FLUIDRA,"34,3500","1,78","34,4000","33,8500",2021-10-14 19:43:04.688896
18,GRIFOLS CL.A,"20,6300","2,38","20,6700","20,1900",2021-10-14 19:43:04.694891
19,IAG,"2,0890","3,16","2,1100","2,0170",2021-10-14 19:43:04.699891
20,IBERDROLA,"9,5920","1,16","9,7720","9,4460",2021-10-14 19:43:04.704893
21,INDITEX,"30,3800","-0,07","30,6900","30,3500",2021-10-14 19:43:04.713880
22,INDRA A,"9,4200","2,06","9,4650","9,2800",2021-10-14 19:43:04.719878
23,INM.COLONIAL,"8,4500","1,26","8,4850","8,3400",2021-10-14 19:43:04.724874
24,MAPFRE,"1,7960","-0,17","1,8175","1,7955",2021-10-14 19:43:04.727873
25,MELIA HOTELS,"6,7700","1,20","6,8680","6,7400",2021-10-14 19:43:04.729873
26,MERLIN,"9,4120","0,02","9,5060","9,3960",2021-10-14 19:43:04.732870
27,NATURGY,"24,0100","4,62","24,8700","22,4200",2021-10-14 19:43:04.737872
28,PHARMA MAR,"71,0000","1,02","71,0000","69,8200",2021-10-14 19:43:04.739866
29,R.E.C.,"17,9500","0,84","17,9600","17,8150",2021-10-14 19:43:04.742864
30,REPSOL,"11,5260","1,21","11,6460","11,4760",2021-10-14 19:43:04.746862
31,SIEMENS GAME,"20,6400","-1,95","21,2600","20,6400",2021-10-14 19:43:04.759855
32,SOLARIA,"14,8300","0,95","14,8900","14,6800",2021-10-14 19:43:04.762853
33,TELEFONICA,"3,9415","-0,64","4,0040","3,9355",2021-10-14 19:43:04.764851
34,VISCOFAN,"55,3000","-1,07","56,5500","55,1000",2021-10-14 19:43:04.767849
,,,,,2021-10-20 21:24:08.372554
ACCIONA,"156,0000","2,97","156,5000","150,4000",2021-10-20 21:24:08.380199
ACERINOX,"11,7550","-1,51","11,8750","11,5700",2021-10-20 21:24:08.380199
ACS,"23,0000","1,77","23,0100","22,5200",2021-10-20 21:24:08.380199
AENA,"144,0000","-0,10","144,6500","141,9000",2021-10-20 21:24:08.388199
ALMIRALL,"12,7000","-0,24","12,8400","12,6100",2021-10-20 21:24:08.396198
AMADEUS,"56,5400","-5,48","60,1000","56,4000",2021-10-20 21:24:08.396198
ARCELORMIT.,"28,0700","1,13","28,1000","27,3350",2021-10-20 21:24:08.412197
B.SANTANDER,"3,3600","-0,04","3,3760","3,3220",2021-10-20 21:24:08.412197
BA.SABADELL,"0,6694","0,03","0,6744","0,6592",2021-10-20 21:24:08.412197
BANKINTER,"5,0640","-0,82","5,1360","5,0240",2021-10-20 21:24:08.420196
BBVA,"5,8300","0,93","5,8620","5,7170",2021-10-20 21:24:08.420196
CAIXABANK,"2,6250","-0,68","2,6610","2,6120",2021-10-20 21:24:08.420196
CELLNEX,"54,0400","0,93","54,3600","53,1400",2021-10-20 21:24:08.420196
CIE AUTOMOT.,"22,8800","2,42","22,9800","22,0600",2021-10-20 21:24:08.428196
ENAGAS,"19,5050","0,39","19,5350","19,3200",2021-10-20 21:24:08.428196
ENDESA,"19,0400","0,21","19,1500","18,6350",2021-10-20 21:24:08.428196
FERROVIAL,"26,8400","0,98","27,0000","26,2000",2021-10-20 21:24:08.436194
FLUIDRA,"35,7000","2,29","36,1000","34,7500",2021-10-20 21:24:08.436194
GRIFOLS CL.A,"20,0200","0,63","20,0900","19,7700",2021-10-20 21:24:08.436194
IAG,"1,8700","-4,91","1,9560","1,8500",2021-10-20 21:24:08.436194
IBERDROLA,"9,8340","1,95","9,8660","9,5440",2021-10-20 21:24:08.444194
INDITEX,"31,4800","-0,82","31,8900","31,2200",2021-10-20 21:24:08.444194
INDRA A,"9,4900","-0,37","9,6550","9,4300",2021-10-20 21:24:08.444194
INM.COLONIAL,"8,3200","-1,42","8,4500","8,3200",2021-10-20 21:24:08.444194
MAPFRE,"1,8110","1,20","1,8190","1,7920",2021-10-20 21:24:08.444194
MELIA HOTELS,"6,3540","-6,91","6,8340","6,3100",2021-10-20 21:24:08.444194
MERLIN,"9,3060","-0,96","9,3740","9,2200",2021-10-20 21:24:08.452193
NATURGY,"22,3700","-0,31","22,5400","22,1500",2021-10-20 21:24:08.452193
PHARMA MAR,"71,2600","-0,34","71,7400","70,6000",2021-10-20 21:24:08.452193
R.E.C.,"17,7750","0,91","17,8400","17,5450",2021-10-20 21:24:08.460192
REPSOL,"11,6900","1,46","11,7140","11,4380",2021-10-20 21:24:08.460192
SIEMENS GAME,"21,7300","5,54","22,1000","20,4700",2021-10-20 21:24:08.460192
SOLARIA,"16,5450","5,85","16,5500","15,8050",2021-10-20 21:24:08.460192
TELEFONICA,"3,8365","2,62","3,8530","3,7400",2021-10-20 21:24:08.468191
VISCOFAN,"55,7500","-0,89","56,7000","55,6000",2021-10-20 21:24:08.468191
